Phase,Epic_ID,Epic_Name,Description,Apps_In_Scope,Duration_Weeks,Start_Week,End_Week,Dependencies,Acceptance_Criteria,Owner_Team
Phase 0 - Mobilisation,E-001,Landing Zone & Network,Provision AWS Landing Zone; establish VPN/Direct Connect; configure IAM; set up shared services (logging; monitoring; security baseline),N/A,4,1,4,None,AWS accounts provisioned; network connectivity validated; IAM policies applied; CloudTrail active,Platform Engineering
Phase 0 - Mobilisation,E-002,Cloud Readiness & Training,Deliver AWS training to all teams; establish Cloud Centre of Excellence; define operating model and runbooks,N/A,4,1,4,None,All teams certified; CCoE charter signed; runbooks drafted; incident process defined,Cloud CoE
Phase 0 - Mobilisation,E-003,Migration Tooling & CI/CD,Set up DMS; SCT; CI/CD pipelines (CodePipeline/GitHub Actions); IaC templates (Terraform/CDK); testing frameworks,N/A,3,2,4,E-001,DMS replication instances ready; CI/CD deploying to dev; IaC modules for compute/DB/network,Platform Engineering
Phase 0 - Mobilisation,E-004,Data Classification & Governance,Classify all data stores; define retention policies; establish data quality baseline; configure AWS Config rules,N/A,3,2,4,E-001,Data catalogue complete; retention policies documented; DQ baseline metrics captured,Data & Analytics
Phase 1 - Foundation,E-101,MDM Migration (APP-010),Migrate Master Data Management to AWS — Oracle 19c to RDS; MongoDB to DocumentDB; Spring Boot to ECS; Kafka to MSK,APP-010,6,5,10,E-001; E-003; E-004,MDM APIs responding <200ms p95; data integrity validated; monitoring live; multi-AZ active,Data & Analytics
Phase 1 - Foundation,E-102,CDP Migration (APP-007),Migrate Customer Data Platform — Cassandra to Keyspaces; Elasticsearch to OpenSearch; Spark to EMR; Kafka consumers to MSK,APP-007,6,5,10,E-001; E-003; E-101 (MDM APIs),CDP event streams processing <500ms p99; zero event loss validated; gRPC endpoints live,Data & Analytics
Phase 1 - Foundation,E-103,Big Data Pipeline Migration (APP-019),Migrate ingestion pipeline — Hadoop to EMR; NiFi to MWAA; S3 data lake setup; Cassandra writes to Keyspaces,APP-019,5,6,10,E-101; E-102,Daily batch <4h; data quality >98%; S3 partitions optimised; monitoring operational,Big Data Engineering
Phase 1 - Foundation,E-104,Foundation Integration Testing,End-to-end integration testing of MDM + CDP + Pipeline; performance baseline; DR drill,APP-010; APP-007; APP-019,3,9,11,E-101; E-102; E-103,All integration tests green; DR drill successful (RTO <30min); performance baseline met,Data & Analytics
Phase 2 - Core Business,E-201,E-Commerce Migration (APP-001),Migrate E-Commerce — PostgreSQL to RDS; Spring Boot to ECS; Redis to ElastiCache; Nginx to ALB + CloudFront,APP-001,6,12,17,E-104 (MDM validated),E-Commerce live on AWS; <2s page load; PCI-DSS compliant; auto-scaling to 5x validated,Digital Products
Phase 2 - Core Business,E-202,Loyalty Engine Migration (APP-002),Migrate Loyalty — MongoDB to DocumentDB; Node.js to EKS; Redis to ElastiCache; RabbitMQ to MQ,APP-002,5,12,16,E-102 (CDP events); E-104,Loyalty on EKS; points accuracy 100%; event-driven flows validated; <300ms p95,Digital Products
Phase 2 - Core Business,E-203,Demand Planning Migration (APP-003),Migrate Demand Planning — Oracle 19c (shared with MDM) already on RDS; Airflow to MWAA; Spark to EMR,APP-003,5,12,16,E-101 (Oracle on RDS); E-103 (EMR ready),Forecasts within ±5% of on-prem; MWAA DAGs operational; Kinaxis vendor validated,Supply Chain Technology
Phase 2 - Core Business,E-204,Trade Promotion Migration (APP-005),Migrate Trade Promo — PostgreSQL 15 to RDS; Spring Boot to ECS; Kafka to MSK,APP-005,4,14,17,E-201 (E-Commerce); E-101 (MDM),Trade Promo APIs live; Kafka streams operational; SFTP on Transfer Family; financial precision validated,Finance Technology
Phase 2 - Core Business,E-205,Retail Analytics Migration (APP-008),Migrate Analytics — PostgreSQL to RDS; Hadoop/Spark to EMR; Hive to Athena; S3 data lake,APP-008,5,14,18,E-201; E-202; E-204; E-103 (data sources),Dashboards <5s; batch <6h; 200 concurrent users; data freshness <1h,Data & Analytics
Phase 2 - Core Business,E-206,Core Business Integration & Load Testing,Full integration testing; load testing (Black Friday simulation); runbook validation; incident drill,APP-001; APP-002; APP-003; APP-005; APP-008,3,17,19,E-201; E-202; E-203; E-204; E-205,Load test passed at 5x; all integrations green; runbooks approved; incident drill successful,Digital Products
Phase 3 - Dependent,E-301,PLM Migration (APP-006),Migrate PLM — MS SQL 2019 to RDS; IIS to ECS; RabbitMQ to MQ; vendor (Dassault) validation,APP-006,5,20,24,E-206; E-101 (MDM),PLM on RDS/ECS; vendor certified; SOAP→REST adapters built for MES,Product Technology
Phase 3 - Dependent,E-302,FP&A Migration (APP-011),Migrate FP&A — MS SQL to RDS; Spring Batch to AWS Batch; Informatica to Glue,APP-011,4,20,23,E-204 (Trade Promo); E-205 (Analytics); E-101 (MDM),Month-end batch <4h; SOX compliant; SFTP on Transfer Family,Finance Technology
Phase 3 - Dependent,E-303,Inventory Optimisation Migration (APP-012),Migrate Inventory — MySQL 8 to RDS; Redis to ElastiCache; Airflow to MWAA,APP-012,4,21,24,E-203 (Demand Planning); E-205 (Analytics),Optimisation within ±3%; <3h full run; Airflow DAGs migrated,Supply Chain Technology
Phase 3 - Dependent,E-304,Pricing Engine Migration (APP-020),Migrate Pricing — PostgreSQL to RDS; Elasticsearch to OpenSearch; Redis to ElastiCache; Scala to EKS,APP-020,5,21,25,E-201 (E-Commerce); E-204 (Trade Promo); E-205 (Analytics),Pricing <200ms p95; full reprice <1h; ML models on SageMaker; ±1% accuracy,Finance Technology
Phase 3 - Dependent,E-305,QMS & Procurement & Store Ops Migration,Migrate APP-013 (QMS); APP-014 (Procurement); APP-016 (Store Ops) — lower criticality batch,APP-013; APP-014; APP-016,5,22,26,E-301 (PLM for QMS); E-302 (FP&A for Procurement); E-201 (E-Commerce for Store Ops),All three apps on ECS/RDS; integration tests green; WebSocket live for Store Ops,Product Technology
Phase 3 - Dependent,E-306,Dependent Phase Integration & Regression,Full regression testing; cost optimisation review; legacy adapter validation for Phase 4,APP-006; APP-011; APP-012; APP-013; APP-014; APP-016; APP-020,2,25,26,E-301; E-302; E-303; E-304; E-305,Regression green; cost within budget; SOAP→REST adapters validated for Phase 4 consumers,Product Technology
Phase 4 - Legacy/Modernise,E-401,WMS Refactoring (APP-004),Refactor WMS — Java 8→17; WebLogic→Spring Boot; Oracle 12c→19c→RDS; IBM MQ→SQS/SNS; EDI gateway on AWS,APP-004,8,27,34,E-303 (Inventory); E-203 (Demand Planning); E-306 (adapters),WMS on ECS/RDS; Java 17; EDI partners validated; <500ms p95; zero-downtime cutover,Supply Chain Technology
Phase 4 - Legacy/Modernise,E-402,TMS Replacement (APP-009),Replace TMS — evaluate SaaS vs rewrite; migrate MySQL 5.7 data; retire SOAP/FTP/EDI legacy interfaces,APP-009,8,27,34,E-401 (WMS); E-203 (Demand Planning),TMS replaced; historical data migrated; EDI via AWS Transfer Family; legacy protocols retired,Supply Chain Technology
Phase 4 - Legacy/Modernise,E-403,MES Replatforming (APP-015),Replatform MES — VB.NET→.NET 8; MSMQ→SQS; COM+/DCOM→REST/gRPC; MS SQL 2016→2019→RDS,APP-015,8,28,35,E-301 (PLM); E-303 (Inventory),MES on ECS/.NET 8; all COM+ interfaces replaced; shop floor <1s; SQS replacing MSMQ,Manufacturing Technology
Phase 4 - Legacy/Modernise,E-404,HR Platform Replacement (APP-017),Replace HR — evaluate SaaS (Workday/SuccessFactors); migrate employee data; LDAP→Cognito/AD,APP-017,6,29,34,E-302 (FP&A),SaaS live; 100% employee records migrated; GDPR compliant; LDAP retired,HR Technology
Phase 4 - Legacy/Modernise,E-405,Document Mgmt Retirement (APP-018),Retire Doc Mgmt — archive to S3 Glacier; metadata to OpenSearch; enforce retention policies,APP-018,4,30,33,E-301 (PLM); E-305 (QMS),All documents archived; metadata searchable; 7yr retention enforced; Alfresco decommissioned,Operations Technology
Phase 4 - Legacy/Modernise,E-406,Legacy Decommission & Hypercare,Decommission on-prem infrastructure; hypercare support; final cost validation; project closure,All,4,34,37,E-401; E-402; E-403; E-404; E-405,On-prem powered off; 44% cost savings validated; hypercare incidents <5; project closed,Platform Engineering
