App_ID,App_Name,Migration_Phase,Owner_Team,NFR_Category,NFR_Requirement,Target_Metric,Dependency,Validation_Method,Priority
APP-010,Master Data Management,Foundation,Data & Analytics,Availability,99.99% uptime for MDM APIs,99.99%,Multi-AZ RDS; ECS multi-task,Synthetic monitoring + CloudWatch alarms,Critical
APP-010,Master Data Management,Foundation,Data & Analytics,Performance,API response time < 200ms p95,<200ms p95,ElastiCache for hot data; read replicas,Load testing (k6/Locust) against production-like data,Critical
APP-010,Master Data Management,Foundation,Data & Analytics,Data Integrity,Zero data loss during migration,0 records lost,DMS with validation; checksums pre/post,Row count + checksum comparison source vs target,Critical
APP-010,Master Data Management,Foundation,Data & Analytics,RPO/RTO,RPO < 5min; RTO < 30min,RPO 5m / RTO 30m,Multi-AZ RDS; automated failover,DR drill — simulate AZ failure,Critical
APP-010,Master Data Management,Foundation,Data & Analytics,Security,Encryption at rest and in transit; IAM least privilege,AES-256 + TLS 1.3,KMS keys; security groups; VPC endpoints,Penetration test + AWS Config rules,Critical
APP-007,Customer Data Platform,Foundation,Data & Analytics,Availability,99.99% uptime for event streams,99.99%,MSK multi-AZ; Keyspaces multi-region,Chaos engineering (AZ failure simulation),Critical
APP-007,Customer Data Platform,Foundation,Data & Analytics,Performance,Event processing latency < 500ms p99,<500ms p99,MSK partitioning; Spark Structured Streaming,End-to-end latency monitoring via CloudWatch,Critical
APP-007,Customer Data Platform,Foundation,Data & Analytics,Scalability,Handle 10x event volume spike,10x burst capacity,MSK auto-scaling; EKS HPA,Load test with 10x synthetic traffic,High
APP-007,Customer Data Platform,Foundation,Data & Analytics,Data Integrity,No duplicate or lost events during migration,0 duplicates/losses,Exactly-once Kafka semantics; idempotent consumers,Event count reconciliation source vs target,Critical
APP-019,Big Data Ingestion Pipeline,Foundation,Big Data Engineering,Performance,Batch ingestion < 4 hours for full daily load,<4h daily batch,EMR auto-scaling; S3 partitioning,Timed batch run with production data volume,High
APP-019,Big Data Ingestion Pipeline,Foundation,Big Data Engineering,Scalability,Scale to 2x current data volume without re-architecture,2x data volume,S3 unlimited storage; EMR fleet scaling,Load test with 2x data,High
APP-019,Big Data Ingestion Pipeline,Foundation,Big Data Engineering,Data Quality,Data quality score > 98% post-migration,>98% DQ score,Great Expectations / Deequ checks in pipeline,Automated DQ checks on every batch,High
APP-001,E-Commerce Platform,Core Business,Digital Products,Availability,99.99% uptime during peak trading,99.99%,ECS multi-AZ; ALB; RDS Multi-AZ,Synthetic monitoring; GameDay load test,Critical
APP-001,E-Commerce Platform,Core Business,Digital Products,Performance,Page load < 2s; API < 100ms p95,<2s page / <100ms API,CloudFront CDN; ElastiCache; connection pooling,Real user monitoring (RUM) + synthetic,Critical
APP-001,E-Commerce Platform,Core Business,Digital Products,Scalability,Auto-scale to 5x normal traffic (Black Friday),5x auto-scale,ECS auto-scaling; RDS read replicas; ElastiCache,Load test simulating peak event,Critical
APP-001,E-Commerce Platform,Core Business,Digital Products,Security,PCI-DSS compliance; WAF protection,PCI-DSS Level 1,AWS WAF; Shield Advanced; encrypted PII,Annual PCI audit + automated scanning,Critical
APP-001,E-Commerce Platform,Core Business,Digital Products,RPO/RTO,RPO < 1min; RTO < 15min,RPO 1m / RTO 15m,Multi-AZ; automated failover; pilot light DR,DR drill quarterly,Critical
APP-002,Loyalty & Rewards Engine,Core Business,Digital Products,Availability,99.95% uptime,99.95%,EKS multi-AZ; DocumentDB replica set,Health checks + auto-recovery,Critical
APP-002,Loyalty & Rewards Engine,Core Business,Digital Products,Performance,Points calculation < 300ms p95,<300ms p95,DocumentDB indexes; Redis caching,Load test with realistic transaction mix,High
APP-002,Loyalty & Rewards Engine,Core Business,Digital Products,Data Integrity,Points balance accuracy 100%,100% accuracy,Transactional writes; reconciliation jobs,Daily reconciliation report,Critical
APP-003,Demand Planning & Forecasting,Core Business,Supply Chain Technology,Availability,99.9% uptime (business hours),99.9%,MWAA multi-AZ; RDS Multi-AZ,Uptime monitoring during business hours,High
APP-003,Demand Planning & Forecasting,Core Business,Supply Chain Technology,Performance,Forecast generation < 2 hours,<2h forecast run,EMR spot instances; optimised Spark jobs,Timed forecast run with production data,High
APP-003,Demand Planning & Forecasting,Core Business,Supply Chain Technology,Accuracy,Forecast accuracy within 5% of on-prem baseline,±5% variance,Model validation against historical actuals,A/B comparison: on-prem vs AWS forecasts,Critical
APP-005,Trade Promotion Management,Core Business,Finance Technology,Availability,99.9% uptime,99.9%,ECS multi-AZ; RDS Multi-AZ,CloudWatch alarms + synthetic checks,High
APP-005,Trade Promotion Management,Core Business,Finance Technology,Performance,Promotion calculation < 500ms p95,<500ms p95,Kafka async processing; PostgreSQL tuning,Load test with concurrent promotions,High
APP-005,Trade Promotion Management,Core Business,Finance Technology,Data Integrity,Financial calculations accurate to 2 decimal places,100% precision,Decimal types; reconciliation with source,Financial reconciliation report,Critical
APP-008,Retail Analytics & Reporting,Core Business,Data & Analytics,Performance,Dashboard load < 5s; batch jobs < 6h,<5s dash / <6h batch,EMR optimised; S3 partitioned; Athena caching,Timed batch + dashboard response monitoring,High
APP-008,Retail Analytics & Reporting,Core Business,Data & Analytics,Scalability,Support 200 concurrent analysts,200 concurrent users,EMR scaling; Athena concurrency; QuickSight,Concurrent user load test,High
APP-008,Retail Analytics & Reporting,Core Business,Data & Analytics,Data Freshness,Data available within 1 hour of source update,<1h latency,Kafka streaming + micro-batch on EMR,End-to-end data latency monitoring,High
APP-006,Product Lifecycle Management,Dependent,Product Technology,Availability,99.9% uptime,99.9%,ECS multi-AZ; RDS SQL Server Multi-AZ,Uptime monitoring,High
APP-006,Product Lifecycle Management,Dependent,Product Technology,Performance,Product search < 1s; BOM generation < 3s,<1s search / <3s BOM,RDS read replicas; application caching,Performance test with full product catalogue,High
APP-006,Product Lifecycle Management,Dependent,Product Technology,Compatibility,Vendor (Dassault) certified for AWS deployment,Vendor sign-off,Vendor support agreement for cloud,Vendor certification document,Critical
APP-011,Financial Planning & Analysis,Dependent,Finance Technology,Availability,99.9% uptime (business hours),99.9%,RDS Multi-AZ; AWS Batch retry logic,Business hours monitoring,High
APP-011,Financial Planning & Analysis,Dependent,Finance Technology,Performance,Month-end batch < 4 hours,<4h batch,AWS Batch with spot; Glue optimised,Timed month-end simulation,High
APP-011,Financial Planning & Analysis,Dependent,Finance Technology,Compliance,SOX compliance for financial reporting,SOX compliant,CloudTrail audit; Config rules; access controls,Annual SOX audit,Critical
APP-012,Inventory Optimisation Engine,Dependent,Supply Chain Technology,Performance,Optimisation run < 3 hours for full catalogue,<3h full run,ECS compute-optimised; RDS tuning,Timed optimisation with production SKU count,High
APP-012,Inventory Optimisation Engine,Dependent,Supply Chain Technology,Accuracy,Optimisation recommendations within 3% of on-prem,±3% variance,Model validation against historical,A/B comparison with on-prem results,High
APP-013,Quality Management System,Dependent,Product Technology,Availability,99.5% uptime,99.5%,ECS; RDS Multi-AZ,Basic uptime monitoring,Medium
APP-013,Quality Management System,Dependent,Product Technology,Compliance,GxP/FDA 21 CFR Part 11 audit trail,Full audit trail,CloudTrail; application-level audit logging,Compliance audit,High
APP-014,Procurement & Sourcing Portal,Dependent,Procurement Technology,Availability,99.5% uptime,99.5%,ECS; DocumentDB replica set,Health checks,Medium
APP-014,Procurement & Sourcing Portal,Dependent,Procurement Technology,Security,Supplier data isolation; OAuth 2.0 enforcement,Zero cross-tenant access,Cognito; row-level security; VPC isolation,Penetration test,High
APP-016,Store Operations Dashboard,Dependent,Digital Products,Performance,Real-time dashboard refresh < 3s,<3s refresh,WebSocket on API Gateway; ElastiCache,Real-time latency monitoring,Medium
APP-016,Store Operations Dashboard,Dependent,Digital Products,Availability,99.5% uptime,99.5%,ECS; RDS Multi-AZ,Synthetic monitoring,Low
APP-020,Pricing & Markdown Optimisation,Dependent,Finance Technology,Performance,Price calculation < 200ms p95,<200ms p95,EKS HPA; OpenSearch tuning; Redis caching,Load test with full product catalogue,High
APP-020,Pricing & Markdown Optimisation,Dependent,Finance Technology,Scalability,Handle full catalogue repricing in < 1 hour,<1h full reprice,EKS auto-scaling; parallel processing,Timed full-catalogue reprice,High
APP-020,Pricing & Markdown Optimisation,Dependent,Finance Technology,Accuracy,Pricing model accuracy within 1% of on-prem,±1% variance,Model validation; A/B testing,Shadow mode comparison,Critical
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Availability,99.9% uptime post-refactor,99.9%,ECS multi-AZ; RDS Multi-AZ,Post-refactor uptime monitoring,High
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Performance,Order processing < 500ms p95 post-refactor,<500ms p95,Spring Boot optimised; connection pooling,Load test post-refactor,High
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Compatibility,All EDI partners validated post-migration,100% EDI partner connectivity,AWS Transfer Family for SFTP/FTP; B2B gateway,End-to-end EDI transaction test with all partners,Critical
APP-004,Warehouse Management System,Legacy/Modernise,Supply Chain Technology,Migration Risk,Zero downtime cutover (max 4h maintenance window),<4h cutover,Blue-green deployment; database sync,Cutover rehearsal,Critical
APP-009,Transportation Management System,Legacy/Modernise,Supply Chain Technology,Availability,99.5% uptime (replacement system),99.5%,Depends on replacement architecture,Post-replacement monitoring,Medium
APP-009,Transportation Management System,Legacy/Modernise,Supply Chain Technology,Data Migration,100% historical shipment data preserved,0 data loss,DMS + custom ETL for legacy formats,Data reconciliation pre/post,High
APP-015,Manufacturing Execution System,Legacy/Modernise,Manufacturing Technology,Availability,99.9% uptime post-replatform,99.9%,ECS; RDS SQL Server Multi-AZ,Post-replatform monitoring,High
APP-015,Manufacturing Execution System,Legacy/Modernise,Manufacturing Technology,Performance,Shop floor transaction < 1s,<1s response,Optimised .NET 8; SQS async processing,Performance test with simulated shop floor load,High
APP-015,Manufacturing Execution System,Legacy/Modernise,Manufacturing Technology,Compatibility,All COM+/DCOM interfaces replaced with REST/gRPC,100% interface coverage,API gateway; service mesh,Interface mapping validation,Critical
APP-017,HR & Workforce Platform,Legacy/Modernise,HR Technology,Availability,99.9% (SaaS provider SLA),99.9%,SaaS provider infrastructure,SLA monitoring,Medium
APP-017,HR & Workforce Platform,Legacy/Modernise,HR Technology,Data Migration,All employee records migrated accurately,100% record accuracy,SaaS migration tooling; validation scripts,Record-by-record comparison,Critical
APP-017,HR & Workforce Platform,Legacy/Modernise,HR Technology,Security,GDPR compliance for employee PII,Full GDPR compliance,Encryption; access controls; right to erasure,GDPR audit,Critical
APP-018,Document Management & Compliance,Legacy/Modernise,Operations Technology,Data Migration,All compliance documents archived with metadata,100% document preservation,S3 + metadata in DynamoDB/OpenSearch,Document count + metadata validation,High
APP-018,Document Management & Compliance,Legacy/Modernise,Operations Technology,Compliance,Retention policies enforced (7-year minimum),7yr retention,S3 Glacier; lifecycle policies; Object Lock,Policy audit,High
APP-018,Document Management & Compliance,Legacy/Modernise,Operations Technology,Availability,99% (archive access),99%,S3 durability (11 9s); Glacier retrieval SLA,Retrieval time test,Low
