"App_ID,App_Name,App_Category,App_Type,Business_Function,Primary_Language,Database_Dependencies,Middleware_Dependencies,Integration_Dependencies,Data_Store_Type,Primary_Infra_ID,Integrated_Apps,Environment,Business_Unit,Vendor_Name,Criticality,SLA_Tier,Owner_Team"
"APP-001,E-Commerce Platform,Home Grown,Web Application,Digital Commerce,Java 11 / React 18,PostgreSQL 14,Spring Boot 3.0 / Redis 7.0 / Nginx,REST API / OAuth 2.0,RDBMS|Cache,INFRA-001,APP-002|APP-005|APP-010,PRODUCTION,Digital Commerce,N/A,Critical,Tier 1,Digital Products"
"APP-002,Loyalty & Rewards Engine,Home Grown,Microservices,Customer Marketing,Node.js 18,MongoDB 6.0,Redis 7.0 / RabbitMQ 3.11 / Nginx,REST API / Kafka,NoSQL|Cache,INFRA-006,APP-001|APP-007|APP-010,PRODUCTION,Marketing,N/A,Critical,Tier 1,Digital Products"
"APP-003,Demand Planning & Forecasting,Third Party,Web Application,Supply Chain,Python 3.10 / R 4.2,Oracle 19c,Apache Airflow 2.6 / Tomcat 10,REST API / JDBC,RDBMS,INFRA-002,APP-004|APP-009|APP-010,PRODUCTION,Supply Chain,Kinaxis,Critical,Tier 1,Supply Chain Technology"
"APP-004,Warehouse Management System,Legacy,Monolithic Application,Supply Chain,Java 8 (J2EE),Oracle 12c,WebLogic 12.2 / IBM MQ 9.0,SOAP / FTP / EDI,RDBMS,INFRA-002,APP-003|APP-009|APP-012,PRODUCTION,Supply Chain,N/A,High,Tier 2,Supply Chain Technology"
"APP-005,Trade Promotion Management,Home Grown,Web Application,Commercial Finance,Java 11 / Angular 14,PostgreSQL 15,Spring Boot 2.7 / Apache Kafka 3.3,REST API / SFTP,RDBMS,INFRA-003,APP-001|APP-010|APP-011,PRODUCTION,Commercial Finance,N/A,High,Tier 2,Finance Technology"
"APP-006,Product Lifecycle Management,Third Party,Web Application,Product Development,.NET 6 / C#,MS SQL Server 2019,IIS 10 / RabbitMQ 3.11,REST API / SOAP,RDBMS,INFRA-004,APP-010|APP-012|APP-015,PRODUCTION,Product Development,Dassault Systèmes,High,Tier 2,Product Technology"
"APP-007,Customer Data Platform,Home Grown,Microservices,Marketing,Python 3.11 / Scala 2.13,Cassandra 4.1 / Elasticsearch 8.5,Apache Kafka 3.3 / Spark 3.3,REST API / gRPC,NoSQL|Search,INFRA-007,APP-002|APP-010|APP-011,PRODUCTION,Marketing,N/A,Critical,Tier 1,Data & Analytics"
"APP-008,Retail Analytics & Reporting,Home Grown,Batch Processing,Business Intelligence,Python 3.10 / Scala 2.12,PostgreSQL 14 / Hadoop 3.3,Apache Spark 3.3 / Apache Hive 3.1,JDBC / REST API,RDBMS|Big Data,INFRA-008,APP-001|APP-002|APP-005|APP-007,PRODUCTION,Business Intelligence,N/A,High,Tier 2,Data & Analytics"
"APP-009,Transportation Management System,Legacy,Monolithic Application,Logistics,Java 7 (J2EE),MySQL 5.7,Apache Tomcat 9 / IBM MQ 8.0,SOAP / EDI / FTP,RDBMS,INFRA-005,APP-003|APP-004|APP-010,PRODUCTION,Logistics,N/A,Medium,Tier 3,Supply Chain Technology"
"APP-010,Master Data Management,Home Grown,Web Application,Data Governance,Java 11 / Angular 15,Oracle 19c / MongoDB 5.0,Spring Boot 3.0 / Apache Kafka 3.3,REST API / SOAP,RDBMS|NoSQL,INFRA-002,APP-001|APP-005|APP-007|APP-008,PRODUCTION,Data Governance,N/A,Critical,Tier 1,Data & Analytics"
"APP-011,Financial Planning & Analysis,Third Party,Web Application,Finance,Java 11 / Groovy,MS SQL Server 2019,Spring Batch 5.0 / Informatica PowerCenter,JDBC / REST API / SFTP,RDBMS,INFRA-004,APP-005|APP-008|APP-010,PRODUCTION,Finance,IBM,High,Tier 2,Finance Technology"
"APP-012,Inventory Optimisation Engine,Home Grown,Batch Processing,Supply Chain,Python 3.10 / R 4.2,MySQL 8.0 / Redis 7.0,Apache Airflow 2.6 / Pandas 2.0,REST API / SFTP,RDBMS|Cache,INFRA-005,APP-004|APP-008|APP-009,PRODUCTION,Supply Chain,N/A,High,Tier 2,Supply Chain Technology"
"APP-013,Quality Management System,Home Grown,Web Application,Quality Assurance,Python 3.11 / Django 4.2,PostgreSQL 15,Redis 7.0 / Celery 5.3 / Nginx,REST API / AMQP,RDBMS|Cache,INFRA-016,APP-006|APP-015,DEV,Quality & Compliance,N/A,Medium,Tier 3,Product Technology"
"APP-014,Procurement & Sourcing Portal,Home Grown,Web Application,Procurement,Node.js 20 / React 18,MongoDB 6.0,Express.js 4.18 / RabbitMQ 3.12 / Nginx,REST API / OAuth 2.0,NoSQL,INFRA-016,APP-010|APP-011,DEV,Procurement,N/A,Medium,Tier 3,Procurement Technology"
"APP-015,Manufacturing Execution System,Legacy,Client-Server Application,Manufacturing,VB.NET 4.8 / C#,MS SQL Server 2016,IIS 10 / MSMQ,SOAP / COM+ / DCOM,RDBMS,INFRA-019,APP-006|APP-012,TEST,Manufacturing,N/A,High,Tier 2,Manufacturing Technology"
"APP-016,Store Operations Dashboard,Home Grown,Web Application,Retail Operations,Python 3.11 / FastAPI / React 18,PostgreSQL 15 / Redis 7.2,Nginx / Celery 5.3,REST API / WebSocket,RDBMS|Cache,INFRA-017,APP-001|APP-008|APP-012,DEV,Retail Operations,N/A,Low,Tier 3,Digital Products"
"APP-017,HR & Workforce Platform,Legacy,Monolithic Application,Human Resources,ASP.NET 4.8 / C#,MS SQL Server 2017,IIS 10 / Crystal Reports 2020,LDAP / Windows Auth / SOAP,RDBMS,INFRA-004,APP-011,PRODUCTION,Human Resources,N/A,Medium,Tier 3,HR Technology"
"APP-018,Document Management & Compliance,Home Grown,Web Application,Legal & Compliance,Java 11 / Angular 15,PostgreSQL 14,Apache Tomcat 10 / Apache Alfresco 23,REST API / WebDAV / CMIS,RDBMS|File,INFRA-019,APP-006|APP-013,TEST,Legal & Compliance,N/A,Low,Tier 3,Operations Technology"
"APP-019,Big Data Ingestion Pipeline,Home Grown,Batch Processing,Data Engineering,Python 3.11 / Scala 2.13,Hadoop 3.3 / Cassandra 4.1,Apache NiFi 1.23 / Spark 3.4,Kafka / JDBC / REST API,Big Data|NoSQL,INFRA-020,APP-007|APP-008|APP-010,TEST,Data Engineering,N/A,High,Tier 2,Big Data Engineering"
"APP-020,Pricing & Markdown Optimisation,Home Grown,Microservices,Commercial Finance,Python 3.11 / Scala 2.12,PostgreSQL 15 / Elasticsearch 8.6,Apache Kafka 3.4 / Redis 7.2,REST API / gRPC,RDBMS|Search|Cache,INFRA-020,APP-001|APP-005|APP-008,TEST,Commercial Finance,N/A,High,Tier 2,Finance Technology"