"Infra_id,Server Name,CPU Cores,Memory (MB),Provisioned Storage (GB),Is Virtual?,Hypervisor Type,Workload Type,Operating System,Environment,Owner_Team"
"INFRA-001,cpg-PROD-WEB-APP01,8,16384,200.00,TRUE,VMware,Web/App Server,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Web Operations"
"INFRA-002,cpg-PROD-ORA-RAC01,32,262144,4096.00,TRUE,VMware,Database Server,Oracle Linux 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-003,cpg-PROD-POSTGRES-PRI,16,131072,2048.00,TRUE,VMware,Database Server,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-004,cpg-PROD-MSSQL-ENT01,16,131072,1536.00,TRUE,VMware,Database Server,Windows Server 2022 Standard (64-bit),PRODUCTION,Database Administration"
"INFRA-005,cpg-PROD-MYSQL-MASTER,12,65536,1024.00,TRUE,VMware,Database Server,CentOS Stream 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-006,cpg-PROD-MONGO-PRI01,12,49152,1024.00,TRUE,VMware,Database Server,Ubuntu 22.04 LTS,PRODUCTION,Database Administration"
"INFRA-007,cpg-PROD-CASSANDRA-N01,16,65536,2048.00,TRUE,VMware,Database Server,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Database Administration"
"INFRA-008,cpg-PROD-HADOOP-NN01,32,262144,8192.00,TRUE,VMware,Big Data Platform,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Big Data Engineering"
"INFRA-009,cpg-PROD-SPARK-MASTER,24,196608,2048.00,TRUE,VMware,Big Data Platform,Ubuntu 22.04 LTS,PRODUCTION,Big Data Engineering"
"INFRA-010,cpg-PROD-KAFKA-BRK01,16,65536,4096.00,TRUE,VMware,Big Data Platform,Red Hat Enterprise Linux 7 (64-bit),PRODUCTION,Big Data Engineering"
"INFRA-011,cpg-PROD-ES-MASTER01,16,98304,1024.00,TRUE,VMware,Search Platform,Red Hat Enterprise Linux 8 (64-bit),PRODUCTION,Search & Analytics"
"INFRA-012,cpg-PROD-NIFI-NODE01,16,65536,1024.00,TRUE,VMware,ETL/Integration,CentOS Stream 8 (64-bit),PRODUCTION,Data Integration"
"INFRA-013,SAN-PROD-CPG-01,N/A,N/A,102400.00,FALSE,N/A,Block Storage,NetApp ONTAP 9.12,PRODUCTION,Storage Operations"
"INFRA-014,NAS-PROD-CPG-01,N/A,N/A,204800.00,FALSE,N/A,File Storage (Structured),Dell EMC Isilon OneFS 9.4,PRODUCTION,Storage Operations"
"INFRA-015,OBJ-PROD-CPG-01,N/A,N/A,512000.00,FALSE,N/A,Object Storage (Unstructured),MinIO Enterprise,PRODUCTION,Storage Operations"
"INFRA-016,cpg-DEV-APP-SVR01,8,32768,500.00,TRUE,VMware,Virtual Machine,Ubuntu 22.04 LTS,DEV,Platform Engineering"
"INFRA-017,cpg-DEV-DB-SVR01,8,32768,512.00,TRUE,VMware,Database Server,Red Hat Enterprise Linux 8 (64-bit),DEV,Database Administration"
"INFRA-018,cpg-DEV-BIGDATA-SVR01,16,65536,1024.00,TRUE,VMware,Big Data Platform,Ubuntu 22.04 LTS,DEV,Big Data Engineering"
"INFRA-019,cpg-TEST-APP-SVR01,8,32768,500.00,TRUE,VMware,Virtual Machine,Red Hat Enterprise Linux 8 (64-bit),TEST,Platform Engineering"
"INFRA-020,cpg-TEST-DB-SVR01,12,49152,1024.00,TRUE,VMware,Database Server,Windows Server 2019 Standard (64-bit),TEST,Database Administration"